 ,Label,Area,X,Y,BX,BY,Width,Height,Width,X
123,0.14;100%;1P;I02-1.tif,118.722,1437.874,443.015,1425.354,439.163,23.114,7.705,23.114,1437.874
124,0.14;100%;1P;I02-1.tif,148.403,600.575,453.802,589.403,446.868,19.262,11.557,19.262,600.575
125,0.14;100%;1P;I02-1.tif,489.729,1440.004,466.655,1417.649,450.72,38.523,30.818,38.523,1440.004
126,0.14;100%;1P;I02-1.tif,29.681,1887.631,452.646,1883.778,450.72,7.705,3.852,7.705,1887.631
127,0.14;100%;1P;I02-1.tif,29.681,2557.932,456.498,2554.08,454.572,7.705,3.852,7.705,2557.932
128,0.14;100%;1P;I02-1.tif,29.681,3284.092,458.425,3282.166,454.572,3.852,7.705,3.852,3284.092
129,0.14;100%;1P;I02-1.tif,59.361,1118.132,468.055,1113.317,462.277,7.705,11.557,7.705,1118.132
130,0.14;100%;1P;I02-1.tif,192.924,537.397,475.167,527.766,466.129,19.262,19.262,19.262,537.397
131,0.14;100%;1P;I02-1.tif,29.681,2030.166,468.055,2026.314,466.129,7.705,3.852,7.705,2030.166
132,0.14;100%;1P;I02-1.tif,281.965,3179.269,480.626,3170.449,466.129,19.262,30.818,19.262,3179.269
133,0.14;100%;1P;I02-1.tif,14.84,182.985,479.612,181.058,477.686,3.852,3.852,3.852,182.985
134,0.14;100%;1P;I02-1.tif,474.889,2174.146,495.744,2157.292,477.686,34.671,34.671,34.671,2174.146
135,0.14;100%;1P;I02-1.tif,14.84,2783.292,479.612,2781.366,477.686,3.852,3.852,3.852,2783.292
136,0.14;100%;1P;I02-1.tif,474.889,87.158,499.355,69.342,489.243,34.671,19.262,34.671,87.158
137,0.14;100%;1P;I02-1.tif,89.042,113.001,503.368,107.865,496.948,11.557,11.557,11.557,113.001
138,0.14;100%;1P;I02-1.tif,44.521,1768.851,500.158,1764.357,496.948,7.705,7.705,7.705,1768.851
139,0.14;100%;1P;I02-1.tif,148.403,3178.154,507.349,3166.597,500.8,23.114,11.557,23.114,3178.154
140,0.14;100%;1P;I02-1.tif,14.84,2621.495,506.578,2619.569,504.652,3.852,3.852,3.852,2621.495
141,0.14;100%;1P;I02-1.tif,89.042,25.682,518.135,19.262,512.357,11.557,11.557,11.557,25.682
142,0.14;100%;1P;I02-1.tif,341.326,84.332,523.16,65.489,512.357,38.523,19.262,38.523,84.332
143,0.14;100%;1P;I02-1.tif,89.042,2694.689,521.346,2688.911,516.209,11.557,11.557,11.557,2694.689
144,0.14;100%;1P;I02-1.tif,103.882,144.462,525.84,138.683,520.062,11.557,11.557,11.557,144.462
145,0.14;100%;1P;I02-1.tif,14.84,271.588,525.84,269.662,523.914,3.852,3.852,3.852,271.588
146,0.14;100%;1P;I02-1.tif,14.84,2209.298,525.84,2207.372,523.914,3.852,3.852,3.852,2209.298
147,0.14;100%;1P;I02-1.tif,207.764,3402.688,534.92,3393.883,527.766,19.262,15.409,19.262,3402.688
148,0.14;100%;1P;I02-1.tif,14.84,3272.535,533.545,3270.609,531.618,3.852,3.852,3.852,3272.535
149,0.14;100%;1P;I02-1.tif,14.84,2359.538,537.397,2357.612,535.471,3.852,3.852,3.852,2359.538
150,0.14;100%;1P;I02-1.tif,59.361,472.871,553.769,466.129,550.88,11.557,7.705,11.557,472.871
151,0.14;100%;1P;I02-1.tif,44.521,2692.121,557.943,2688.911,554.732,7.705,7.705,7.705,2692.121
152,0.14;100%;1P;I02-1.tif,59.361,299.517,565.326,292.775,562.437,11.557,7.705,11.557,299.517
153,0.14;100%;1P;I02-1.tif,14.84,2386.505,564.363,2384.578,562.437,3.852,3.852,3.852,2386.505
154,0.14;100%;1P;I02-1.tif,14.84,2039.797,568.215,2037.871,566.289,3.852,3.852,3.852,2039.797
155,0.14;100%;1P;I02-1.tif,14.84,2633.052,568.215,2631.126,566.289,3.852,3.852,3.852,2633.052
156,0.14;100%;1P;I02-1.tif,14.84,3492.117,568.215,3490.191,566.289,3.852,3.852,3.852,3492.117
157,0.14;100%;1P;I02-1.tif,14.84,2625.348,572.068,2623.421,570.142,3.852,3.852,3.852,2625.348
158,0.14;100%;1P;I02-1.tif,252.285,2248.728,583.171,2238.191,573.994,19.262,19.262,19.262,2248.728
159,0.14;100%;1P;I02-1.tif,14.84,2386.505,575.92,2384.578,573.994,3.852,3.852,3.852,2386.505
160,0.14;100%;1P;I02-1.tif,14.84,2448.141,579.772,2446.215,577.846,3.852,3.852,3.852,2448.141
161,0.14;100%;1P;I02-1.tif,14.84,564.363,591.329,562.437,589.403,3.852,3.852,3.852,564.363
162,0.14;100%;1P;I02-1.tif,14.84,1269.335,591.329,1267.409,589.403,3.852,3.852,3.852,1269.335
163,0.14;100%;1P;I02-1.tif,14.84,94.382,595.182,92.455,593.255,3.852,3.852,3.852,94.382
164,0.14;100%;1P;I02-1.tif,341.326,837.877,604.226,820.542,593.255,30.818,30.818,30.818,837.877
165,0.14;100%;1P;I02-1.tif,14.84,2648.461,595.182,2646.535,593.255,3.852,3.852,3.852,2648.461
166,0.14;100%;1P;I02-1.tif,44.521,2847.497,596.466,2843.003,593.255,7.705,7.705,7.705,2847.497
167,0.14;100%;1P;I02-1.tif,74.201,1271.647,602.116,1267.409,597.108,7.705,11.557,7.705,1271.647
168,0.14;100%;1P;I02-1.tif,148.403,2733.212,602.886,2719.729,597.108,26.966,11.557,26.966,2733.212
169,0.14;100%;1P;I02-1.tif,29.681,2775.588,608.665,2773.661,604.812,3.852,7.705,3.852,2775.588
170,0.14;100%;1P;I02-1.tif,281.965,2060.68,616.673,2049.428,608.665,23.114,15.409,23.114,2060.68
