 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
131,0.14;100%;1P;I05-1.tif,12.755,2569.643,223.214,2567.857,221.429,3.571,3.571,,,932.143,3.571
132,0.14;100%;1P;I05-1.tif,12.755,2512.5,226.786,2510.714,225,3.571,3.571,,,989.286,3.571
133,0.14;100%;1P;I05-1.tif,12.755,273.214,230.357,271.429,228.571,3.571,3.571,,,3228.572,3.571
134,0.14;100%;1P;I05-1.tif,38.265,1972.024,232.738,1967.857,228.571,7.143,7.143,,,1529.762,7.143
135,0.14;100%;1P;I05-1.tif,127.551,3253.571,234.643,3246.429,228.571,14.286,10.714,,,248.215,14.286
136,0.14;100%;1P;I05-1.tif,127.551,2623.214,240.357,2617.857,232.143,10.714,14.286,,,878.572,10.714
137,0.14;100%;1P;I05-1.tif,25.51,930.357,239.286,928.571,235.714,3.571,7.143,,,2571.429,3.571
138,0.14;100%;1P;I05-1.tif,12.755,2641.071,237.5,2639.286,235.714,3.571,3.571,,,860.715,3.571
139,0.14;100%;1P;I05-1.tif,63.776,2679.643,241.071,2675,235.714,10.714,10.714,,,822.143,10.714
140,0.14;100%;1P;I05-1.tif,12.755,823.214,241.071,821.429,239.286,3.571,3.571,,,2678.572,3.571
141,0.14;100%;1P;I05-1.tif,12.755,962.5,241.071,960.714,239.286,3.571,3.571,,,2539.286,3.571
142,0.14;100%;1P;I05-1.tif,12.755,1041.071,241.071,1039.286,239.286,3.571,3.571,,,2460.715,3.571
143,0.14;100%;1P;I05-1.tif,12.755,1991.071,241.071,1989.286,239.286,3.571,3.571,,,1510.715,3.571
144,0.14;100%;1P;I05-1.tif,38.265,2764.881,242.262,2760.714,239.286,7.143,7.143,,,736.905,7.143
145,0.14;100%;1P;I05-1.tif,12.755,1066.071,244.643,1064.286,242.857,3.571,3.571,,,2435.715,3.571
146,0.14;100%;1P;I05-1.tif,38.265,1331.548,245.833,1328.571,242.857,7.143,7.143,,,2170.238,7.143
147,0.14;100%;1P;I05-1.tif,114.796,1558.135,255.357,1553.571,242.857,10.714,21.429,,,1943.651,10.714
148,0.14;100%;1P;I05-1.tif,38.265,1997.024,248.214,1992.857,242.857,7.143,10.714,,,1504.762,7.143
149,0.14;100%;1P;I05-1.tif,12.755,3258.929,244.643,3257.143,242.857,3.571,3.571,,,242.857,3.571
150,0.14;100%;1P;I05-1.tif,12.755,116.071,248.214,114.286,246.429,3.571,3.571,,,3385.715,3.571
151,0.14;100%;1P;I05-1.tif,25.51,1650,251.786,1646.429,250,7.143,3.571,,,1851.786,7.143
152,0.14;100%;1P;I05-1.tif,12.755,2491.071,251.786,2489.286,250,3.571,3.571,,,1010.715,3.571
153,0.14;100%;1P;I05-1.tif,38.265,2310.119,256.548,2307.143,253.571,7.143,7.143,,,1191.667,7.143
154,0.14;100%;1P;I05-1.tif,38.265,3274.405,258.929,3271.429,253.571,7.143,10.714,,,227.381,7.143
155,0.14;100%;1P;I05-1.tif,12.755,3294.643,258.929,3292.857,257.143,3.571,3.571,,,207.143,3.571
156,0.14;100%;1P;I05-1.tif,51.02,2339.286,266.071,2335.714,260.714,7.143,10.714,,,1162.5,7.143
157,0.14;100%;1P;I05-1.tif,12.755,941.071,266.071,939.286,264.286,3.571,3.571,,,2560.715,3.571
158,0.14;100%;1P;I05-1.tif,102.041,1073.661,269.643,1064.286,264.286,17.857,10.714,,,2428.125,17.857
159,0.14;100%;1P;I05-1.tif,25.51,1637.5,267.857,1635.714,264.286,3.571,7.143,,,1864.286,3.571
160,0.14;100%;1P;I05-1.tif,25.51,2507.143,266.071,2503.571,264.286,7.143,3.571,,,994.643,7.143
161,0.14;100%;1P;I05-1.tif,12.755,1644.643,269.643,1642.857,267.857,3.571,3.571,,,1857.143,3.571
162,0.14;100%;1P;I05-1.tif,51.02,2855.357,274.107,2850,267.857,10.714,10.714,,,646.429,10.714
163,0.14;100%;1P;I05-1.tif,89.286,3448.214,271.684,3435.714,267.857,25,10.714,,,53.572,25
164,0.14;100%;1P;I05-1.tif,51.02,1155.357,275,1150,271.429,10.714,7.143,,,2346.429,10.714
165,0.14;100%;1P;I05-1.tif,102.041,2204.911,276.339,2200,271.429,10.714,10.714,,,1296.875,10.714
166,0.14;100%;1P;I05-1.tif,12.755,3287.5,273.214,3285.714,271.429,3.571,3.571,,,214.286,3.571
167,0.14;100%;1P;I05-1.tif,318.878,2033.929,293.214,2025,275,17.857,32.143,,,1467.857,17.857
168,0.14;100%;1P;I05-1.tif,12.755,1962.5,280.357,1960.714,278.571,3.571,3.571,,,1539.286,3.571
