 ,Label,Area,X,Y,BX,BY,Width,Height
415,20231005-B-S-SP-down-I_01-1.tif,7.387,2450.258,819.471,2448.899,818.112,2.718,2.718
416,20231005-B-S-SP-down-I_01-1.tif,7.387,2741.082,819.471,2739.723,818.112,2.718,2.718
417,20231005-B-S-SP-down-I_01-1.tif,7.387,672.700,822.189,671.341,820.830,2.718,2.718
418,20231005-B-S-SP-down-I_01-1.tif,7.387,1738.148,822.189,1736.789,820.830,2.718,2.718
419,20231005-B-S-SP-down-I_01-1.tif,44.324,1885.824,824.001,1880.841,820.830,8.154,8.154
420,20231005-B-S-SP-down-I_01-1.tif,7.387,2444.822,822.189,2443.463,820.830,2.718,2.718
421,20231005-B-S-SP-down-I_01-1.tif,7.387,710.751,824.907,709.392,823.548,2.718,2.718
422,20231005-B-S-SP-down-I_01-1.tif,7.387,2099.639,824.907,2098.280,823.548,2.718,2.718
423,20231005-B-S-SP-down-I_01-1.tif,7.387,2474.720,827.625,2473.361,826.266,2.718,2.718
424,20231005-B-S-SP-down-I_01-1.tif,7.387,77.462,830.343,76.103,828.984,2.718,2.718
425,20231005-B-S-SP-down-I_01-1.tif,1307.571,2378.439,850.566,2359.206,828.984,38.052,43.488
426,20231005-B-S-SP-down-I_01-1.tif,7.387,2346.975,833.061,2345.616,831.702,2.718,2.718
427,20231005-B-S-SP-down-I_01-1.tif,14.775,2663.619,834.420,2660.901,831.702,5.436,5.436
428,20231005-B-S-SP-down-I_01-1.tif,7.387,2757.390,833.061,2756.031,831.702,2.718,2.718
429,20231005-B-S-SP-down-I_01-1.tif,22.162,403.620,835.779,399.543,834.420,8.154,2.718
430,20231005-B-S-SP-down-I_01-1.tif,7.387,1159.218,835.779,1157.859,834.420,2.718,2.718
431,20231005-B-S-SP-down-I_01-1.tif,51.712,2617.996,838.108,2614.696,834.420,8.154,8.154
432,20231005-B-S-SP-down-I_01-1.tif,7.387,2713.902,835.779,2712.543,834.420,2.718,2.718
433,20231005-B-S-SP-down-I_01-1.tif,7.387,2765.544,835.779,2764.185,834.420,2.718,2.718
434,20231005-B-S-SP-down-I_01-1.tif,1750.816,2033.272,864.025,2011.304,837.138,46.206,54.360
435,20231005-B-S-SP-down-I_01-1.tif,14.775,2338.821,839.855,2337.462,837.138,2.718,5.436
436,20231005-B-S-SP-down-I_01-1.tif,7.387,2346.975,838.496,2345.616,837.138,2.718,2.718
437,20231005-B-S-SP-down-I_01-1.tif,2445.232,196.676,868.542,165.797,839.855,62.514,54.360
438,20231005-B-S-SP-down-I_01-1.tif,51.712,1594.095,846.650,1590.018,842.573,8.154,8.154
439,20231005-B-S-SP-down-I_01-1.tif,7.387,2504.618,843.932,2503.259,842.573,2.718,2.718
440,20231005-B-S-SP-down-I_01-1.tif,7.387,2754.672,843.932,2753.313,842.573,2.718,2.718
441,20231005-B-S-SP-down-I_01-1.tif,738.741,2097.437,858.637,2079.254,845.291,40.770,27.180
442,20231005-B-S-SP-down-I_01-1.tif,199.460,1688.217,856.616,1679.711,848.009,19.026,21.744
443,20231005-B-S-SP-down-I_01-1.tif,908.651,284.957,879.288,269.080,858.881,32.616,38.052
444,20231005-B-S-SP-down-I_01-1.tif,132.973,1312.029,868.243,1304.630,858.881,13.590,16.308
445,20231005-B-S-SP-down-I_01-1.tif,14.775,1829.200,860.240,1826.482,858.881,5.436,2.718
446,20231005-B-S-SP-down-I_01-1.tif,7.387,2061.587,860.240,2060.228,858.881,2.718,2.718
447,20231005-B-S-SP-down-I_01-1.tif,7.387,2770.979,860.240,2769.621,858.881,2.718,2.718
448,20231005-B-S-SP-down-I_01-1.tif,7.387,1825.123,865.676,1823.764,864.317,2.718,2.718
449,20231005-B-S-SP-down-I_01-1.tif,7.387,2510.054,868.394,2508.695,867.035,2.718,2.718
450,20231005-B-S-SP-down-I_01-1.tif,339.821,1786.776,879.325,1774.840,869.753,24.462,21.744
451,20231005-B-S-SP-down-I_01-1.tif,7.387,2762.826,871.112,2761.467,869.753,2.718,2.718
452,20231005-B-S-SP-down-I_01-1.tif,317.659,801.203,881.921,788.214,872.471,24.462,21.744
453,20231005-B-S-SP-down-I_01-1.tif,7.387,2727.492,873.830,2726.133,872.471,2.718,2.718
454,20231005-B-S-SP-down-I_01-1.tif,7.387,2749.236,879.266,2747.877,877.907,2.718,2.718
455,20231005-B-S-SP-down-I_01-1.tif,7.387,2722.056,881.984,2720.697,880.625,2.718,2.718
456,20231005-B-S-SP-down-I_01-1.tif,7.387,708.034,884.702,706.675,883.343,2.718,2.718
457,20231005-B-S-SP-down-I_01-1.tif,14.775,713.469,886.061,712.110,883.343,2.718,5.436
458,20231005-B-S-SP-down-I_01-1.tif,14.775,877.907,884.702,875.189,883.343,5.436,2.718
459,20231005-B-S-SP-down-I_01-1.tif,1713.879,1021.433,908.695,997.498,883.343,46.206,48.924
460,20231005-B-S-SP-down-I_01-1.tif,1787.753,1585.491,906.760,1560.120,883.343,48.924,48.924
461,20231005-B-S-SP-down-I_01-1.tif,36.937,1810.989,887.420,1807.456,883.343,8.154,8.154
462,20231005-B-S-SP-down-I_01-1.tif,7.387,1852.303,884.702,1850.944,883.343,2.718,2.718
463,20231005-B-S-SP-down-I_01-1.tif,96.036,2306.414,890.974,2302.128,883.343,8.154,13.590
464,20231005-B-S-SP-down-I_01-1.tif,88.649,2482.874,889.685,2478.797,883.343,8.154,13.590
465,20231005-B-S-SP-down-I_01-1.tif,7.387,2711.184,884.702,2709.825,883.343,2.718,2.718
466,20231005-B-S-SP-down-I_01-1.tif,7.387,2770.979,884.702,2769.621,883.343,2.718,2.718
467,20231005-B-S-SP-down-I_01-1.tif,132.973,642.802,893.007,636.007,886.061,13.590,13.590
468,20231005-B-S-SP-down-I_01-1.tif,7.387,2762.826,887.420,2761.467,886.061,2.718,2.718
469,20231005-B-S-SP-down-I_01-1.tif,14.775,2314.359,891.497,2313.000,888.779,2.718,5.436
470,20231005-B-S-SP-down-I_01-1.tif,7.387,876.548,892.856,875.189,891.497,2.718,2.718
471,20231005-B-S-SP-down-I_01-1.tif,14.775,2061.587,894.215,2060.228,891.497,2.718,5.436
472,20231005-B-S-SP-down-I_01-1.tif,7.387,2768.262,892.856,2766.903,891.497,2.718,2.718
473,20231005-B-S-SP-down-I_01-1.tif,192.073,1664.553,903.310,1652.531,894.215,21.744,19.026
474,20231005-B-S-SP-down-I_01-1.tif,7.387,2031.689,895.574,2030.330,894.215,2.718,2.718
475,20231005-B-S-SP-down-I_01-1.tif,7.387,2067.023,895.574,2065.664,894.215,2.718,2.718
476,20231005-B-S-SP-down-I_01-1.tif,14.775,2171.665,896.933,2168.947,894.215,5.436,5.436
477,20231005-B-S-SP-down-I_01-1.tif,22.162,2498.276,897.386,2495.105,894.215,5.436,5.436
478,20231005-B-S-SP-down-I_01-1.tif,7.387,2738.364,895.574,2737.005,894.215,2.718,2.718
479,20231005-B-S-SP-down-I_01-1.tif,339.821,880.980,912.414,872.471,896.933,19.026,29.898
480,20231005-B-S-SP-down-I_01-1.tif,44.324,1836.448,900.557,1831.918,896.933,8.154,8.154
481,20231005-B-S-SP-down-I_01-1.tif,7.387,1879.482,898.292,1878.123,896.933,2.718,2.718
482,20231005-B-S-SP-down-I_01-1.tif,7.387,2602.465,898.292,2601.106,896.933,2.718,2.718
483,20231005-B-S-SP-down-I_01-1.tif,7.387,1898.508,901.010,1897.149,899.651,2.718,2.718
484,20231005-B-S-SP-down-I_01-1.tif,7.387,2643.234,901.010,2641.875,899.651,2.718,2.718
485,20231005-B-S-SP-down-I_01-1.tif,886.489,1305.015,920.353,1288.322,902.369,35.334,35.334
486,20231005-B-S-SP-down-I_01-1.tif,59.099,2667.357,906.786,2663.619,902.369,8.154,8.154
487,20231005-B-S-SP-down-I_01-1.tif,7.387,2760.108,903.728,2758.749,902.369,2.718,2.718
488,20231005-B-S-SP-down-I_01-1.tif,36.937,2404.052,908.620,2399.975,905.087,8.154,8.154
489,20231005-B-S-SP-down-I_01-1.tif,7.387,2694.876,906.446,2693.517,905.087,2.718,2.718
490,20231005-B-S-SP-down-I_01-1.tif,7.387,207.925,909.164,206.566,907.805,2.718,2.718
491,20231005-B-S-SP-down-I_01-1.tif,14.775,739.290,909.164,736.572,907.805,5.436,2.718
