Radii(nm)	Raw	1kp	2kp	4kp	4ks
146.	9703.92137526132	474598.322976987	103369.295739514	8.15056566869387e7	1467.55183295356
147.	8994.80705572837	452756.99187105	96303.3482479841	1.72227255570246e8	1462.95385314088
148.	8457.60823914571	436351.122742679	91439.1990200033	4.94561054323684e10	1462.50562610299
149.	8062.15301459007	424535.458003051	88389.2566940371	1.24180073557351e10	1465.24796431353
150.	7784.29561466091	416730.234383001	86893.3628893423	3.7634233124563e8	1470.31862033739
151.	7604.06180826953	412528.519881484	86776.1733196408	1.40196385757209e8	1476.97095302624
152.	7504.41513638706	411609.688770302	87922.0125404784	9.57454485985435e7	1484.57904168999
153.	7470.50640934949	413666.465428575	90260.4132960417	8.38215862562643e7	1492.63351804982
154.	7489.27672616654	418349.759882848	93757.7123427077	8.8314151009652e7	1500.73271036279
155.	7549.29518886066	425232.75150223	98411.4561288425	1.11059692919625e8	1508.5727220458
156.	7640.71906889142	433526.107946305	104266.187691105	1.57999597935678e8	1515.93835238138
157.	7755.26558787602	442413.049775196	111376.294026326	2.51966489531995e7	1522.6945197115
158.	7886.09992558453	450683.165176561	119845.554507937	5.59541705530275e10	1528.77528384593
159.	8027.5717024891	458469.072752443	129707.903383243	7.89900024588921e8	1534.16553996659
160.	8174.83424374727	465404.813232074	141066.780931727	1.35823702249847e8	1538.87049576186
161.	8323.48331052129	471157.899377633	154059.710570395	5.92664524371741e7	1542.87140478002
162.	8469.33452280877	475507.737832818	168871.879051374	3.34052685595929e7	1546.07254387059
163.	8608.46631301377	478328.964993222	185748.462710898	2.17674330572089e7	1548.25215753168
164.	8737.49548469986	474030.35188595	205007.774144576	1.57089024682169e7	1549.03585414862
165.	8853.92179780918	466858.899177569	227072.289396374	1.24416107954966e7	1547.91097579681
166.	8956.32578292346	458196.803509803	252562.79514039	1.03968398690371e7	1544.29163380436
167.	9044.27580803515	448462.750689336	282520.163197463	9.16937701980069e6	1537.62640121298
168.	9117.95984889578	438179.080603559	318854.37103892	8.55721196165803e6	1527.52039607086
169.	9177.72149004867	427927.153669155	365181.616379618	8.48561974858245e6	1513.83273293538
170.	9223.77029736653	418277.126342428	428467.004411517	8.97769140664024e6	1496.71849165139
171.	9256.30180171861	409713.930992262	522859.166996963	1.01453366030165e7	1476.60776857204
172.	9276.07855178608	402581.84647089	680969.844501736	1.21447506752997e7	1454.13691582678
173.	9285.23769654771	397057.767422932	998684.313559413	1.5376713344317e7	1430.05526760076
174.	9287.86379023422	393150.607499192	1.95098192666804e6	1.95767700157305e7	1405.12634028157
175.	9289.91702589544	390719.900492031	8.8699985882583e9	2.31335124865237e7	1380.03703090181
