Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
754.9514771	0.0797313	0.011535997	0.204603642	0.484264165	-0.052556742
753.96521	0.074357904	0.015554066	0.20819138	0.484028369	-0.052133147
752.9785767	0.073367581	0.009356503	0.205136269	0.48363933	-0.056811966
751.9915771	0.069829434	0.011002542	0.206486106	0.492044956	-0.054148436
751.0042725	0.07360886	0.011298252	0.209445253	0.491357297	-0.052486785
750.0166016	0.076544277	0.01721387	0.212845549	0.497978479	-0.051523741
749.0285645	0.074992061	0.014908215	0.211663127	0.497615844	-0.052220471
748.0401611	0.0778815	0.012641092	0.210840821	0.498893917	-0.05136798
747.0514526	0.076090962	0.010232342	0.210665613	0.500241458	-0.053594664
746.0623169	0.077571414	0.010818032	0.211246833	0.499746651	-0.055393841
744.9315186	0.079939052	0.016064912	0.218150362	0.510904193	-0.047068801
743.9416504	0.076433979	0.01381009	0.218230069	0.51552856	-0.048699163
742.9514771	0.077378713	0.011866413	0.21856837	0.513872266	-0.050829712
741.9609375	0.081149772	0.013899458	0.220621839	0.518750548	-0.049375113
740.9700317	0.081655577	0.012692957	0.221303657	0.521118701	-0.048221614
739.9787598	0.082141452	0.01451533	0.225462347	0.526335776	-0.046791475
738.9871826	0.079657495	0.015749941	0.227271646	0.527788878	-0.045460463
737.9952393	0.086493827	0.017366283	0.22622098	0.531583428	-0.047114
737.0029297	0.084888585	0.017428549	0.228922248	0.535400391	-0.04493583
736.0103149	0.082587078	0.014979697	0.226974383	0.53699851	-0.047380723
735.017334	0.082296483	0.018991256	0.231602654	0.540401459	-0.044615183
734.0239868	0.087607339	0.014574674	0.231290504	0.541388333	-0.046759401
733.0302734	0.091021352	0.017372264	0.234667733	0.547192514	-0.044937603
732.0362549	0.086028181	0.017556507	0.236456841	0.550871015	-0.046664324
731.0418701	0.084237054	0.01643401	0.236961067	0.554790199	-0.046986617
730.0471802	0.084049538	0.017054055	0.237949818	0.556193769	-0.046849947
729.052124	0.090111993	0.013998737	0.234773099	0.556133211	-0.04923106
728.0567017	0.086069174	0.011120601	0.236270279	0.558362305	-0.050376538
727.0609741	0.088526443	0.014603398	0.236604333	0.563923419	-0.048679356
726.0648804	0.086027615	0.017500177	0.241706789	0.57027334	-0.045995872
