Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
41.	1.23474261944554e8	6.46110970343663e7	5.01023637027506e7	4.78673140112843e8	1.30806286511874e9	1.84857166208143e8
42.	1.0448651044095e8	5.59456901065201e7	4.42516121690906e7	9.11555808649374e11	1.22290612666277e9	1.54596392855188e8
43.	9.14215337097222e7	4.94129559637025e7	3.97601446097821e7	1.90353363977629e11	1.17808425184619e9	1.34058143714944e8
44.	8.27810833131283e7	4.45137766142978e7	3.63379373507077e7	1.13450506283008e9	1.17108955620363e9	1.20054701493692e8
45.	7.73112087889208e7	4.08822720417328e7	3.37768995412714e7	4.655374760963e8	1.20407663536276e9	1.0948635815023e8
46.	7.44216836059722e7	3.82688803106545e7	3.19399154887392e7	2.18819906344104e8	1.28515716120446e9	1.05279533464341e8
47.	7.38438094239865e7	3.65070322967791e7	3.0666680668258e7	1.36037339738605e8	1.43119462875753e9	1.07803690211999e8
48.	7.56575621735417e7	3.54927405915355e7	2.98279050798339e7	9.9530128922066e7	1.66855111554749e9	1.17679368254668e8
49.	8.01315167633021e7	3.51728932830881e7	2.94950722528476e7	8.03036720167217e7	2.04502991327394e9	1.34306551275134e8
50.	8.79318402984062e7	3.55400555117945e7	2.9669868192013e7	7.01216113246533e7	2.67382843721952e9	1.60686436658769e8
51.	1.00424806376134e8	3.65629444568852e7	3.04011879770439e7	6.55680872630275e7	3.62399730191829e9	2.08314372693868e8
52.	1.20059735219097e8	3.84325050125949e7	3.17117070651402e7	6.53419741164095e7	5.65596310270538e9	3.00592996531392e8
53.	1.51580526085946e8	4.12840340315806e7	3.37006468537671e7	6.94122187744056e7	1.15554647643355e10	5.16183653290642e8
54.	2.04058864955027e8	4.52292500018108e7	3.65185072931684e7	7.89791584262555e7	1.64290448811145e12	1.47621547780139e9
55.	2.84577322824529e8	5.02315277711725e7	4.01670171700225e7	9.72710835510798e7	2.5581878834288e12	2.29513400176281e12
56.	4.45496653002206e8	5.70445898394858e7	4.52173365850787e7	1.32214508800002e8	4.30400630718379e9	5.76756181860846e11
57.	8.51107239726889e8	6.5951536056796e7	5.210030952482e7	2.05541436778771e8	3.98645892230378e9	1.77737951049167e9
58.	2.56456178464273e9	7.83959676897894e7	6.14374156474258e7	3.93551307782624e8	2.86615981812625e9	6.35197152543913e8
59.	9.02450483401137e11	9.60229056306494e7	7.48309864274999e7	1.17314869760231e9	2.00951667009093e9	3.29170720635961e8
60.	6.28322726671405e12	1.300995083196e8	9.47993412846188e7	1.56893885578661e11	1.46213860452995e9	2.10872828783079e8
61.	2.70317937143842e9	2.04779617162739e8	1.2626604149664e8	1.08275421457974e12	1.15198096923076e9	1.56277577017543e8
62.	8.61026469595367e8	3.82131216556979e8	1.80023826339207e8	2.61550754081528e8	9.89904662150784e8	1.3035318738749e8
63.	5.28583954970743e8	9.93329111592301e8	2.84072473385352e8	1.15838601922634e8	9.15156846960803e8	1.20101595803079e8
64.	3.796518725248e8	1.35238315556003e12	5.35340485766799e8	5.74531346260781e7	8.87716016167252e8	1.21210580000183e8
65.	2.83962903608896e8	2.62847012412024e12	1.5354035799847e9	1.64123252343449e8	9.02321033421815e8	1.34501301574925e8
66.	2.50615671115353e8	3.52396065998961e9	6.15363194551693e11	1.30248908252376e8	9.6339577047111e8	1.66966364570183e8
67.	2.66008423894604e8	1.08797362895094e9	1.46478538846656e12	1.1637584436037e8	1.08236799251158e9	2.42735266391497e8
68.	2.93933274075403e8	2.97086460322495e8	3.76351805814851e9	1.13624404371692e8	1.27986124050779e9	3.98197115510645e8
69.	3.25429608267812e8	2.23509039476147e8	6.1654853746307e8	1.2234163670058e8	1.58772864204694e9	1.36248975968073e9
70.	3.86221847681771e8	2.43013989871851e8	3.51148414704863e8	1.46065468083507e8	2.03567678979622e9	9.8332236719248e11
71.	5.11568441579571e8	2.34438299915978e8	2.4148034675845e8	1.96896188434185e8	2.88941436753873e9	3.8344330607963e10
72.	7.77179400020429e8	2.0877115541899e8	2.05764803200358e8	3.11361121410441e8	7.09214389194026e9	2.39673226308391e8
73.	1.34317386448133e9	1.79225630456169e8	1.88246862214374e8	5.93517760206858e8	4.80001624627202e10	1.43909245739052e8
74.	2.81655123799024e9	1.5874051354053e8	1.86666384867093e8	5.82414877101107e8	1.65844223947736e11	9.2784411969414e7
75.	2.09985076041392e10	1.50911824768181e8	2.03612440409823e8	5.1895384943404e11	8.05981088823578e10	6.99075796500939e7
76.	1.77423131502742e12	1.56322523098228e8	2.31888431010811e8	1.86708891644643e11	1.95004243401578e10	5.66728536183497e7
77.	8.35355008164616e9	1.74375356994235e8	1.52168461667118e8	1.00993345586937e9	1.34469921803167e10	4.91515188443629e7
78.	2.78701125501018e9	2.06299965360735e8	1.42992439546636e8	4.6554328310969e8	1.84104636858871e10	4.57895000042517e7
79.	1.56712232015032e9	2.57131551029086e8	1.63462023710518e8	3.43132755848268e8	3.58194150506352e11	4.60934624187975e7
80.	1.14549146235434e9	3.39634901330909e8	1.69577727634499e8	1.8008928411876e8	4.60967772898083e11	5.05964644502169e7
81.	9.82472256992294e8	4.90586378951768e8	2.33774517263672e8	2.58997680839049e8	2.64493087326367e9	6.15573836435688e7
82.	9.78070607525852e8	8.72303081599933e8	3.30866338013225e8	2.47993612309507e8	3.36058460764945e9	8.60317792586802e7
83.	1.11804822479481e9	3.05362707784791e9	5.00871937646743e8	2.78637144501627e8	1.80376436423836e9	1.68019309185914e8
84.	1.48018959162857e9	2.84857902356293e11	8.26218219120898e8	3.18040861951366e8	7.95672237881832e8	4.51628363017078e11
85.	2.35267512175117e9	1.43186081796943e12	3.40283338818723e9	5.22028557118267e8	4.4661913350355e8	7.42073557806589e10
86.	4.90761846855099e9	4.18817473186698e9	7.64378561945998e11	1.02029034226864e9	3.07897174132474e8	2.85404524058871e8
87.	1.66836125548408e10	2.26828119480207e9	1.25599190152385e11	3.1494084453301e9	2.40231310116013e8	9.63161019144903e7
88.	6.98150787970714e11	3.02798587644812e8	5.27273032469959e9	3.39772679861129e10	2.0482317590404e8	4.39603689004822e7
89.	5.24649996002972e11	2.96450267405352e8	1.82987258655648e9	2.9972045062744e11	1.87297767370285e8	2.53394279175714e7
90.	1.47993912004926e10	2.36460731774489e8	8.10339196837858e8	2.44171827530878e7	1.8321316660652e8	1.71468870621522e7
91.	5.56241881189691e9	2.99956905838733e8	4.13315052222322e8	3.91778979641736e8	1.90954053513061e8	1.28947567593704e7
92.	4.02500688944014e9	3.60384197617551e8	2.88276315392622e8	3.09188791475726e8	2.13383737974658e8	1.05121780478574e7
93.	3.57984410448503e9	4.61914036095694e8	2.41808344421752e8	3.02305994765086e8	2.59131201989264e8	9.17758068651856e6
94.	5.78835861554757e9	6.62029772502514e8	2.30703360768757e8	3.85251715426825e8	3.50457936011197e8	8.52750305150952e6
95.	6.93249081111221e9	1.14099822339626e9	2.46379831424738e8	6.70688068833118e8	5.51355625303631e8	8.41158096434662e6
96.	9.04311799114926e10	2.89496894959962e9	2.93646208045167e8	1.99540803240211e9	1.09480037825938e9	8.71517308164172e6
97.	2.6193561862155e10	1.69049731353041e11	3.96209520456926e8	5.32525119661768e10	3.65926462325177e9	9.33250912698356e6
98.	6.36996911996931e9	2.23017913242109e11	6.16352112332114e8	4.61529676072559e9	2.17594776569649e11	1.04774130492097e7
99.	3.36303871122539e9	2.00362749574446e9	1.09951079235874e9	9.22081360024116e8	5.07443111031195e9	1.22472609597159e7
100.	1.88011971041252e9	6.45183359312395e7	1.96232547636426e9	5.09289221104438e8	1.56393545788296e9	1.47242172347759e7
101.	1.15830390247022e9	3.06556895398481e8	1.16893929184667e11	2.84568204463488e8	6.33468323904801e8	1.82366057051767e7
102.	8.20793140815145e8	3.33264494893949e8	3.58311016413479e10	2.16806084488814e8	3.95315569461775e8	3.07931244728805e7
